year,cty,all_gov_exp,all_gov_rev
2004,Clear Creek,47180.066666666666,35306.53333333333
2004,Conejos,27297.733333333334,29712.4
2004,Costilla,9849.066666666668,9488.733333333334
2004,Crowley,8605.2,8958.6
2004,Custer,13145.2,10239.733333333334
2004,Delta,98214.06666666667,95476.66666666667
2004,Denver,3375764.8666666667,3687815.1333333333
2004,Dolores,10356.066666666668,7934.933333333333
2004,Douglas,733966.7333333333,718811.8666666667
2004,Eagle,229679.73333333334,238863.86666666667
2004,El Paso,1820802.7333333334,1751891.9333333333
2004,Elbert,46528.13333333333,51468.13333333333
2004,Fremont,91165.6,87993.66666666667
2004,Garfield,197230.4,167362.2
2004,Gilpin,32627.666666666668,51573.333333333336
2004,Grand,75461.26666666666,81898.2
2004,Gunnison,62219.333333333336,62288.26666666667
2004,Hinsdale,3107.4,3264.5333333333333
2004,Huerfano,25676.533333333333,25354.466666666667
2004,Jackson,7295.666666666667,7240.533333333334
2004,Jefferson,1602979.0,1478845.0
2004,Kiowa,13934.0,15415.733333333334
2004,Kit Carson,35096.4,36740.73333333333
2004,La Plata,137219.73333333334,138836.73333333334
2004,Lake,80479.53333333334,89755.93333333333
2004,Larimer,804973.6,891179.2666666667
2004,Las Animas,57369.26666666667,48483.666666666664
2004,Lincoln,25604.733333333334,27493.6
2004,Logan,70339.4,76972.6
2004,Mesa,345797.8,343317.2
2004,Mineral,4189.266666666666,4716.4
2004,Moffat,81615.4,89708.26666666666
2004,Montezuma,70784.46666666666,75094.33333333333
2004,Montrose,142039.13333333333,146001.33333333334
2004,Morgan,80497.6,86659.46666666666
2004,Otero,67144.53333333334,68527.93333333333
2004,Ouray,13516.4,13902.8
2004,Park,40809.8,43188.13333333333
2004,Phillips,22971.133333333335,24717.133333333335
2004,Pitkin,184178.2,194705.4
2004,Prowers,60647.6,66705.13333333333
2004,Pueblo,380744.73333333334,400471.4666666667
2004,Rio Blanco,49959.26666666667,51219.86666666667
2004,Rio Grande,41256.066666666666,41583.26666666667
2004,Routt,101536.26666666666,95951.66666666667
2004,Saguache,18152.0,19595.533333333333
2004,San Juan,3881.5333333333333,3863.4
2004,San Miguel,58441.0,57509.333333333336
2004,Sedgwick,16321.6,15531.4
2004,Summit,135496.46666666667,149002.53333333333
2004,Teller,69228.2,75555.93333333333
2004,Washington,20045.066666666666,19867.866666666665
2004,Weld,597724.1333333333,584670.6666666666
2004,Yuma,47870.13333333333,54035.0
2005,Adams,1371020.7,1322967.9
2005,Alamosa,52161.7,52343.6
2005,Arapahoe,2107365.7,1935540.8
2005,Archuleta,32909.3,50716.0
2005,Baca,25691.5,28056.4
2005,Bent,34711.4,35318.6
2005,Boulder,1111209.5,1001065.9
2005,Broomfield,715878.9,114709.1
2005,Chaffee,59680.7,61397.9
2005,Cheyenne,20208.4,19339.8
2005,Clear Creek,48580.1,36329.3
2005,Conejos,27996.1,30482.1
2005,Costilla,10097.6,9719.1
2005,Crowley,8832.3,9192.4
2005,Custer,13533.8,10538.6
2005,Delta,101062.6,98230.5
2005,Denver,3470794.3,3791953.7
2005,Dolores,10644.1,8147.4
2005,Douglas,756709.6,741125.8
2005,Eagle,236702.1,246169.3
2005,El Paso,1874249.6,1803425.9
2005,Elbert,47915.2,53010.2
2005,Fremont,93765.4,90484.5
2005,Garfield,203191.6,172390.3
2005,Gilpin,33630.0,53167.0
2005,Grand,77734.4,84362.8
2005,Gunnison,64055.0,64117.9
2005,Hinsdale,3197.1,3357.8
2005,Huerfano,26362.3,26029.7
2005,Jackson,7478.5,7431.8
2005,Jefferson,1650046.5,1521895.5
2005,Kiowa,14315.0,15835.6
2005,Kit Carson,36055.6,37751.1
2005,La Plata,141212.6,142853.6
2005,Lake,82834.8,92393.4
2005,Larimer,828704.4,917607.4
2005,Las Animas,58896.4,49718.0
2005,Lincoln,26304.6,28254.9
2005,Logan,72180.6,79019.9
2005,Mesa,355537.2,352999.8
2005,Mineral,4305.4,4849.1
2005,Moffat,84025.1,92372.9
2005,Montezuma,72766.7,77210.5
2005,Montrose,146194.7,150274.0
2005,Morgan,82710.9,89057.2
2005,Otero,68919.8,70337.9
2005,Ouray,13907.1,14307.2
2005,Park,42009.2,44472.2
2005,Phillips,23604.7,25406.7
2005,Pitkin,189643.8,200577.1
2005,Prowers,62307.4,68558.2
2005,Pueblo,390751.1,411191.2
2005,Rio Blanco,51360.9,52653.8
2005,Rio Grande,42402.1,42730.4
2005,Routt,104558.4,98817.0
2005,Saguache,18643.0,20125.3
2005,San Juan,3986.3,3965.1
2005,San Miguel,60226.0,59260.5
2005,Sedgwick,16765.4,15948.6
2005,Summit,139661.2,153589.3
2005,Teller,71318.8,77840.4
2005,Washington,20574.1,20392.3
2005,Weld,614980.7,601452.0
2005,Yuma,49224.2,55574.0
2006,Adams,1410001.9333333333,1360430.5333333332
2006,Alamosa,53613.933333333334,53796.13333333333
2006,Arapahoe,2168972.933333333,1991874.7333333334
2006,Archuleta,33868.73333333333,52210.666666666664
2006,Baca,26345.0,28774.533333333333
2006,Bent,35664.2,36283.8
2006,Boulder,1142875.6666666667,1029592.8666666667
2006,Broomfield,737572.2,118185.13333333333
2006,Chaffee,61341.26666666666,63121.2
2006,Cheyenne,20778.533333333333,19879.733333333334
2006,Clear Creek,49980.13333333333,37352.066666666666
2006,Conejos,28694.466666666667,31251.8
2006,Costilla,10346.133333333333,9949.466666666667
2006,Crowley,9059.4,9426.2
2006,Custer,13922.4,10837.466666666667
2006,Delta,103911.13333333333,100984.33333333333
2006,Denver,3565823.7333333334,3896092.2666666666
2006,Dolores,10932.133333333333,8359.866666666667
2006,Douglas,779452.4666666667,763439.7333333334
2006,Eagle,243724.46666666667,253474.73333333334
2006,El Paso,1927696.4666666668,1854959.8666666667
2006,Elbert,49302.26666666666,54552.26666666666
2006,Fremont,96365.2,92975.33333333333
2006,Garfield,209152.8,177418.4
2006,Gilpin,34632.333333333336,54760.666666666664
2006,Grand,80007.53333333333,86827.4
2006,Gunnison,65890.66666666667,65947.53333333334
2006,Hinsdale,3286.8,3451.0666666666666
2006,Huerfano,27048.066666666666,26704.933333333334
2006,Jackson,7661.333333333333,7623.066666666667
2006,Jefferson,1697114.0,1564946.0
2006,Kiowa,14696.0,16255.466666666667
2006,Kit Carson,37014.8,38761.46666666667
