LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
61002,"Akron, Town of",1997,3,Sewer,48067,46364,825,0,0,0,878,38083,34133,1939,1687,324,0,0,0,4316,39197,2909,5846
61002,"Akron, Town of",1997,7,Airport,13725,0,0,0,13725,0,0,13725,13725,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1998,2,Water,293399,269189,4125,15490,0,0,4595,279055,197351,28345,49359,4000,0,0,0,337600,136717,57368,34620
61002,"Akron, Town of",1998,3,Sewer,100736,69742,550,28121,0,0,2323,70806,31609,36982,1982,233,0,0,0,2334,72677,6692,6748
61002,"Akron, Town of",1998,7,Airport,255053,0,0,151126,103927,0,0,255053,10374,244679,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1999,2,Water,266918,260214,2225,0,0,0,4479,229045,175545,540,49514,3446,0,0,0,288086,164963,56811,34325
61002,"Akron, Town of",1999,7,Airport,13602,0,0,3074,10528,0,0,13602,13061,541,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1999,3,Sewer,73181,69582,1100,0,0,0,2499,53489,45615,5540,2208,126,0,0,0,126,88530,645,7642
61002,"Akron, Town of",2000,2,Water,296006,287326,1800,0,0,0,6880,320145,229126,40046,48086,2887,0,0,0,240000,162137,77827,34338
61002,"Akron, Town of",2000,3,Sewer,76012,69885,825,0,0,0,5302,53308,45345,7827,126,10,0,0,0,0,117069,6354,8641
61002,"Akron, Town of",2000,7,Airport,52866,0,0,0,52866,0,0,52866,52866,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",2001,2,Water,278247,275675,1800,0,0,0,772,348142,246110,51632,48000,2400,0,0,0,192000,76614,60449,39817
61002,"Akron, Town of",2001,7,Airport,100282,0,0,40000,60282,0,0,100282,95528,4754,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",2001,3,Sewer,70753,69897,0,0,0,0,856,155440,25746,129694,0,0,0,0,0,0,33490,5842,8340
61002,"Akron, Town of",2002,2,Water,301712,297141,3400,0,0,0,1171,261158,209655,1583,48000,1920,0,0,0,144000,120110,62382,39874
61002,"Akron, Town of",2002,7,Airport,56447,0,0,0,56447,0,0,56447,10634,38078,6328,1407,0,0,0,24687,0,0,0
61002,"Akron, Town of",2002,3,Sewer,138892,135823,1100,1563,0,0,406,248373,92355,150650,4860,508,0,0,0,0,70819,152651,10395
61002,"Akron, Town of",2003,7,Airport,74677,0,0,37586,37091,0,0,74677,16814,50895,5675,1293,0,0,0,18948,0,0,0
61002,"Akron, Town of",2003,3,Sewer,446272,162160,2275,268437,0,692,12708,375625,89564,283881,0,2180,0,0,0,0,111967,126393,10564
61002,"Akron, Town of",2003,2,Water,288822,282423,4175,0,0,2224,0,276752,188888,38424,48000,1440,0,0,0,96000,127775,57268,40138
61002,"Akron, Town of",2004,7,Airport,103162,0,0,61537,41625,0,0,103162,26319,69875,6014,954,0,0,0,12934,0,0,0
61002,"Akron, Town of",2004,2,Water,277491,270558,5700,0,0,1233,0,278943,199155,30828,48000,960,0,0,0,48000,152386,60139,41036
61002,"Akron, Town of",2004,3,Sewer,175750,161612,4000,0,0,1061,9077,154560,108653,43727,0,2180,0,0,0,0,135318,128554,11187
61002,"Akron, Town of",2005,2,Water,268984,262050,3750,0,0,3184,0,290016,236155,5381,48000,480,0,0,0,189218,348259,245359,41221
61002,"Akron, Town of",2005,3,Sewer,172884,162239,3000,0,0,2077,5568,332475,116342,215353,0,780,0,0,0,270159,140127,839885,11751
61002,"Akron, Town of",2005,7,Airport,240409,0,0,173363,67046,0,0,240409,40856,192585,6216,752,0,0,0,6718,0,0,0
61002,"Akron, Town of",2006,2,Water,280370,275684,3475,0,0,1211,0,362628,221940,137476,0,3212,0,0,0,280959,134776,36789,40517
61002,"Akron, Town of",2006,3,Sewer,573728,187020,0,378163,0,2755,5790,1636458,119329,1442022,8612,66495,0,0,0,1841388,234801,187863,11751
61002,"Akron, Town of",2006,7,Airport,760277,0,0,634023,126254,0,0,760277,40758,712568,6718,233,0,0,0,0,0,0,0
