,pass,prob_exmpt,s_time,sales_change,prop_change,prop_levy_change,debt_change,rev_time,ss_open,ss_no waiver,ss_sales,ss_property,ss_nontax,ss_value,ss_transfer,ss_nonproperty,ss_tourism,ss_unknown,ss_library,ss_gaming,ss_development,infrastructure,open,public safety,economic development,unspecified,environment,hss,education,tourism,no waiver,administrative,limited,agriculture,unknown,choice,intensity_stock,prop_ratio,cty_rev_prop
10,1,0.5890198209831424,99.0,0.05,0.0,0.0,0.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.9395622718086692,0.2146838042255655
11,1,0.5886456409300097,99.0,0.5,0.0,0.0,0.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9689621893487677,0.20959575664723396
12,1,0.5873093911820789,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4785349081222384,0.2531314152603276
13,0,0.5865384088489712,0.0,0.0,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.5093497079062599,0.2480481590187577
14,1,0.5858373262797939,0.0,4.0,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.44251301616031663,0.2643109355994919
15,1,0.5858373262797939,99.0,0.0,0.0,0.0,0.0,99.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.44251301616031663,0.2643109355994919
16,0,0.585300994213943,99.0,1.0,0.0,0.0,0.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5206032600945234,0.265025816610959
17,0,0.5635296587871164,99.0,0.0,0.0,0.0,0.0,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2121309926553825,0.11267076542655705
18,1,0.5635296587871164,0.0,0.0,0.9,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.2121309926553825,0.11267076542655705
19,0,0.5635296587871164,0.0,0.0,1.8,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.2121309926553825,0.11267076542655705
20,1,0.6576075633851581,99.0,0.0,0.0,0.0,0.0,99.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295516331318062,1.253886790301461,0.11289236597961412
21,0,0.6576075633851581,0.0,0.2,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0295516331318062,1.253886790301461,0.11289236597961412
22,1,0.832894793157181,0.0,0.0,0.0,0.0,14000000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.14142424155645886,1.03377224521663,0.11610715090869858
23,1,0.9895270854601433,0.0,0.0,1.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.4671559307393973,0.9789965226824036,0.11146849022502237
24,1,0.628485934529769,99.0,0.25,0.0,0.0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3698798381533476,1.0951542850599243,0.11902653938870272
